node_id,parent_node_id,level,name,node_type,description,why_it_matters,depends_on,dependency_type,bottleneck_level,substitutability,time_horizon,confidence,notes
L0_AI_ECOSYSTEM,,0,AI Ecosystem,domain,The AI ecosystem from end users down to root inputs.,Top-level container.,,,low,high,long,high,
L1_APPLICATIONS,L0_AI_ECOSYSTEM,1,AI applications & end-user demand,domain,Visible AI products consumed by end users and enterprises.,Where revenue enters the system.,L1_MODELS,requires_software,low,high,short,high,Demand layer.
L1_MODELS,L0_AI_ECOSYSTEM,1,Foundation models & developers,domain,Frontier and open-weight model labs.,Translates compute into product.,L1_TRAIN_INFER_PLATFORMS;L1_HYPERSCALERS;L1_NEOCLOUDS;L1_DATA_LICENSING,requires_service;requires_service;requires_service;requires_input,medium,medium,short,high,Mostly private at frontier.
L1_TRAIN_INFER_PLATFORMS,L0_AI_ECOSYSTEM,1,Training & inference platforms,subdomain,Software stacks and managed services that run model workloads.,Performance/cost of every model run.,L1_COMPUTE;L1_NETWORKING,requires_equipment;requires_equipment,low,high,short,high,
L1_HYPERSCALERS,L0_AI_ECOSYSTEM,1,Cloud hyperscalers,domain,AWS / Azure / GCP / OCI and global peers.,Largest single buyers of GPUs and physical infra.,L1_DC_OPS;L1_COMPUTE;L1_GENERATION,requires_equipment;requires_equipment;requires_power,medium,medium,short,high,
L1_NEOCLOUDS,L0_AI_ECOSYSTEM,1,GPU cloud / neocloud providers,domain,GPU-rental specialists.,Faster ramp than hyperscaler self-build.,L1_COMPUTE;L1_DC_OPS;L1_GENERATION,requires_equipment;requires_equipment;requires_power,medium,medium,short,high,
L1_COMPUTE,L0_AI_ECOSYSTEM,1,AI accelerators & processors,domain,GPU/TPU/ASIC/CPU/FPGA/DPU.,Center of the chip supply chain.,L1_FAB;L1_PACKAGING;L1_MEMORY;L1_NETWORKING;L1_SEMI_DESIGN;L1_EDA;L1_SEMI_IP,requires_service;requires_service;requires_input;requires_input;requires_service;requires_software;requires_software,severe,low,medium,high,
L2_AI_ACCELERATORS,L1_COMPUTE,2,AI accelerators,subdomain,GPUs/TPUs/ASICs purpose-built for AI.,The single largest dollar item in AI infra.,L1_FAB;L1_PACKAGING;L1_MEMORY,requires_service;requires_service;requires_input,severe,low,medium,high,
L3_GPU,L2_AI_ACCELERATORS,3,GPU,component,Graphics processing units used for training and inference.,Dominant accelerator class.,L4_HBM;L1_FAB;L1_PACKAGING,requires_input;requires_service;requires_service,severe,low,medium,high,NVDA dominant; AMD second source.
L3_HYPERSCALER_ASIC,L2_AI_ACCELERATORS,3,Hyperscaler custom ASIC,component,TPU; Trainium/Inferentia; MTIA; Maia; Axion; etc.,Captive demand for foundry / packaging / HBM.,L4_HBM;L1_FAB;L1_PACKAGING,requires_input;requires_service;requires_service,high,medium,medium,medium,Designed in-house with AVGO / MRVL partnership.
