company_id,name,ticker,exchange,country,category_node_id,role,rank_within_node,market_segment,pure_play_score,why_top_3,bottleneck_exposure,key_risks,time_horizon,confidence,source_id
COMP_NVDA_GPU,NVIDIA,NVDA,NASDAQ,US,L3_GPU,Designer of dominant data-center GPUs,1,Data center GPU and platform (CUDA / NVLink / NIC),high,Effective monopoly on training accelerators with the broadest software stack and ecosystem leadership.,severe,Customer concentration with hyperscalers; geopolitical / export-control headwinds; rising hyperscaler ASIC competition.,short,high,SRC_NVDA_10K
COMP_AMD_GPU,Advanced Micro Devices,AMD,NASDAQ,US,L3_GPU,Second-source data-center GPU,2,MI-series accelerators,medium,Only credible second-source GPU at scale; ROCm software stack improving but trails CUDA.,high,Software ecosystem gap; smaller installed base; capacity allocation at TSMC.,short,high,SRC_AMD_10K
COMP_INTC_GPU,Intel,INTC,NASDAQ,US,L3_GPU,Third-tier accelerator with Gaudi line,3,Gaudi 2/3 accelerator,low,Smaller share but the only U.S. IDM with leading-edge ambition and a U.S. fab roadmap.,high,Execution risk on foundry roadmap; subscale AI accelerator market share.,medium,medium,SRC_INTC_10K
COMP_AVGO_ASIC,Broadcom,AVGO,NASDAQ,US,L3_HYPERSCALER_ASIC,ASIC design partner for hyperscalers; switch ASIC,1,Custom ASIC and AI-networking,high,Designs Google TPU and other hyperscaler ASICs plus dominant DC switch silicon.,high,Hyperscaler ASIC programs can in-source over time.,short,high,SRC_AVGO_10K
COMP_MRVL_ASIC,Marvell Technology,MRVL,NASDAQ,US,L3_HYPERSCALER_ASIC,ASIC design partner for hyperscalers,2,Custom silicon for hyperscalers,medium,Trainium / custom-ASIC design partner with optical DSP exposure.,high,Customer concentration; cyclical broader semis exposure.,short,high,SRC_MRVL_10K
COMP_LSCC_FPGA,Lattice Semiconductor,LSCC,NASDAQ,US,L3_FPGA,Low/mid-range FPGAs,1,Low-power and edge FPGA,high,Pure-play FPGA name with edge-AI exposure.,medium,Cyclical industrial / comms exposure.,medium,medium,SRC_AMD_10K
COMP_AMD_FPGA,AMD (Xilinx),AMD,NASDAQ,US,L3_FPGA,High-performance FPGAs and adaptive compute,2,Versal / Alveo,low,Xilinx is the high-end FPGA + adaptive SoC franchise.,medium,Diluted within AMD; ASIC competition for inference.,medium,high,SRC_AMD_10K
COMP_INTC_CPU,Intel,INTC,NASDAQ,US,L2_CPU,Server CPU incumbent,1,Xeon server CPU,medium,Largest server CPU installed base at hyperscalers.,medium,Share losses to AMD and Arm-class server.,medium,high,SRC_INTC_10K
COMP_AMD_CPU,AMD,AMD,NASDAQ,US,L2_CPU,Server CPU challenger taking share,2,EPYC server CPU,medium,Has taken meaningful share at hyperscalers.,medium,Cyclicality; Arm displacement risk.,medium,high,SRC_AMD_10K
COMP_ARM_IP,Arm Holdings,ARM,NASDAQ,UK,L1_SEMI_IP,Dominant CPU IP licensor,1,IP and royalties,high,Royalty stream attached to most non-x86 server and edge compute.,high,Royalty-rate disputes; customer disintermediation via RISC-V.,medium,high,SRC_ARM_20F
COMP_SNPS_IP,Synopsys,SNPS,NASDAQ,US,L1_SEMI_IP,Major IP block licensor,2,IP cores and PHYs,medium,Second-largest IP business after Arm; deep PHY portfolio.,medium,EDA and IP combined exposure; cyclicality.,medium,high,SRC_SNPS_10K
COMP_RMBS_IP,Rambus,RMBS,NASDAQ,US,L1_SEMI_IP,Memory PHY and security IP,3,Memory interface IP,high,Pure-play memory-PHY licensor relevant to HBM and DDR5.,medium,Smaller scale; legal / royalty volatility.,medium,medium,SRC_SNPS_10K
COMP_SNPS_EDA,Synopsys,SNPS,NASDAQ,US,L1_EDA,Top-2 EDA vendor,1,EDA tools and IP,high,Co-leader in advanced-node design and verification toolchains.,severe,Long sales cycles; consolidation already pushed.,medium,high,SRC_SNPS_10K
COMP_CDNS_EDA,Cadence Design Systems,CDNS,NASDAQ,US,L1_EDA,Top-2 EDA vendor,2,EDA tools and IP,high,Co-leader in advanced-node design and verification.,severe,Same as SNPS; export-control sensitivity.,medium,high,SRC_CDNS_10K
COMP_TSM_FOUNDRY,Taiwan Semiconductor (TSMC),TSM,NYSE,Taiwan,L2_LEADING_EDGE_FOUNDRY,Dominant leading-edge foundry,1,Leading-edge foundry and CoWoS packaging,high,Sole credible 3nm-class supplier at scale; runs CoWoS in-house.,severe,Geographic concentration in Taiwan; capex cyclicality.,medium,high,SRC_TSM_20F
COMP_INTC_FOUNDRY,Intel Foundry,INTC,NASDAQ,US,L2_LEADING_EDGE_FOUNDRY,Emerging foundry challenger,2,18A and Intel-internal nodes,low,Only U.S.-headquartered leading-edge fab effort; CHIPS Act anchored.,high,Execution risk; customer wins TBD.,long,medium,SRC_INTC_10K
COMP_GFS_FOUNDRY,GlobalFoundries,GFS,NASDAQ,US,L2_SPECIALTY_FOUNDRY,Specialty / mature-node foundry,1,RF; analog; FDX; auto,high,Largest U.S.-listed specialty foundry serving AI-server analog and PMIC content.,medium,Mature-node ASP pressure.,medium,high,SRC_INTC_10K
COMP_TSEM_FOUNDRY,Tower Semiconductor,TSEM,NASDAQ,Israel,L2_SPECIALTY_FOUNDRY,Specialty foundry,2,Analog; RF; CMOS image sensor,medium,Specialty analog and silicon photonics process exposure.,medium,Smaller scale; competing with GFS / UMC-foreign.,medium,medium,SRC_INTC_10K
COMP_AMKR_PKG,Amkor Technology,AMKR,NASDAQ,US,L1_PACKAGING,Largest U.S.-listed OSAT,1,OSAT and advanced packaging,high,Closest U.S.-listed pure-play to advanced packaging exposure.,high,Trails ASE in CoWoS-equivalent capacity; not running TSMC's CoWoS itself.,medium,high,SRC_AMKR_10K
COMP_TSM_PKG,TSMC,TSM,NYSE,Taiwan,L2_COWOS,CoWoS provider,1,CoWoS-S / CoWoS-L / CoWoS-R packaging,high,The only meaningful CoWoS provider at scale.,severe,Capacity-constrained; Taiwan concentration.,medium,high,SRC_TSM_20F
COMP_MU_HBM,Micron Technology,MU,NASDAQ,US,L2_HBM,Only U.S.-listed HBM producer,1,HBM3e / HBM4 stacks,high,Sole U.S.-listed HBM exposure; capacity sold out into 2026.,severe,Cyclicality of broader DRAM; trails SK hynix in HBM share.,short,high,SRC_MU_10K
COMP_MU_DRAM,Micron Technology,MU,NASDAQ,US,L2_DRAM,Major DRAM producer,1,DDR5 server DRAM,high,Only U.S.-listed pure-play DRAM.,medium,Cyclicality; trade-policy exposure.,short,high,SRC_MU_10K
COMP_MU_NAND,Micron Technology,MU,NASDAQ,US,L2_NAND,Major NAND producer,1,NAND for AI servers,high,U.S.-listed NAND exposure for high-tier flash.,medium,NAND pricing volatility.,short,high,SRC_MU_10K
COMP_WDC_STORAGE,Western Digital,WDC,NASDAQ,US,L1_STORAGE,HDD / flash systems supplier,1,HDD platforms and adjacent storage,medium,Largest HDD platform supplier post-SanDisk separation.,medium,HDD-NAND cycle.,short,high,SRC_WDC_10K
COMP_STX_STORAGE,Seagate Technology,STX,NASDAQ,US,L1_STORAGE,HDD platform supplier,2,Mass-capacity HDDs,medium,Mass-capacity HDDs serve AI training datasets and warm storage.,medium,Substitution risk from QLC NAND in some tiers.,short,high,SRC_WDC_10K
COMP_NTAP_STORAGE,NetApp,NTAP,NASDAQ,US,L1_STORAGE,Enterprise storage systems,3,All-flash arrays and hybrid systems,medium,Storage stacks integrating into AI data pipelines.,low,Subscale next to hyperscaler internal storage.,medium,medium,SRC_WDC_10K
COMP_AVGO_NET,Broadcom,AVGO,NASDAQ,US,L2_SWITCH_ASIC,Top switch silicon,1,Tomahawk / Jericho ASICs,high,Dominant share in DC switching silicon.,severe,Hyperscaler ASIC self-design pressure.,short,high,SRC_AVGO_10K
COMP_NVDA_NET,NVIDIA (Mellanox),NVDA,NASDAQ,US,L2_SWITCH_ASIC,Spectrum / Quantum switching,2,Spectrum / Quantum InfiniBand and Ethernet,high,InfiniBand monopoly plus Spectrum-X gains.,severe,InfiniBand share could erode if Ultra-Ethernet succeeds.,medium,high,SRC_NVDA_10K
COMP_MRVL_NET,Marvell,MRVL,NASDAQ,US,L2_SWITCH_ASIC,Networking silicon and DSPs,3,Optical DSP and switch silicon,medium,Optical DSP for transceivers; some switch silicon.,high,Customer concentration; share narrative versus AVGO.,medium,medium,SRC_MRVL_10K
COMP_ANET_NET,Arista Networks,ANET,NYSE,US,L1_NETWORKING,DC switch systems,1,Cloud / AI ethernet switches,high,Most AI-tilted U.S.-listed networking name; Meta and Microsoft customers.,high,Customer concentration.,short,high,SRC_ANET_10K
COMP_CSCO_NET,Cisco Systems,CSCO,NASDAQ,US,L1_NETWORKING,DC and enterprise networking,2,Switching; routing; security,medium,Largest revenue base in networking; broader portfolio diluted.,medium,Slow AI mix shift.,medium,high,SRC_ANET_10K
COMP_HPE_NET,Hewlett Packard Enterprise,HPE,NYSE,US,L1_NETWORKING,AI networking via HPE Networking and acquired Juniper portfolio,3,AI-native switching; routing; campus and data-center networking,medium,HPE became the U.S.-listed public proxy for Juniper's AI-native networking assets after the acquisition closed and JNPR ceased NYSE trading.,medium,Integration execution; competition with Cisco and Arista; divestiture obligations from DOJ settlement.,medium,high,SRC_HPE_JUNIPER_CLOSE
COMP_COHR_OPT,Coherent,COHR,NYSE,US,L2_TRANSCEIVERS,Optical transceiver supplier,1,800G / 1.6T transceivers,high,Top-tier supplier to NVDA and hyperscalers; scale in optical.,high,Transceiver pricing pressure; competition from Innolight-foreign.,short,high,SRC_COHR_10K
COMP_LITE_OPT,Lumentum,LITE,NASDAQ,US,L2_TRANSCEIVERS,Lasers and components,2,DC and 3D-sensing components,high,Indium phosphide and EML laser exposure.,high,Customer concentration; mix shift to silicon-photonics integrators.,short,high,SRC_LITE_10K
COMP_FN_OPT,Fabrinet,FN,NYSE,US,L2_TRANSCEIVERS,Optical contract manufacturer,3,Contract manufacturing,high,Manufactures NVDA optics and other optical engines.,high,Customer concentration with NVDA.,short,high,SRC_FN_10K
COMP_ALAB_PCIE,Astera Labs,ALAB,NASDAQ,US,L2_PCIE_CXL,Connectivity silicon for AI servers,1,PCIe / CXL / Ethernet retimers and gearboxes,high,Pure-play AI-server connectivity.,high,Newer business; dependent on AI server cycle.,short,high,SRC_ALAB_10K
COMP_AAOI_OPT,Applied Optoelectronics,AAOI,NASDAQ,US,L2_TRANSCEIVERS,Optical components,N/A,Cable / fiber components,medium,Smaller scale; partial DC exposure.,medium,Customer concentration; legacy CATV mix.,medium,medium,SRC_LITE_10K
COMP_DELL_SRV,Dell Technologies,DELL,NYSE,US,L1_SERVERS,AI server systems,1,PowerEdge AI servers,medium,Largest U.S.-listed AI server system integrator.,high,Margin pressure; competitive vs SMCI.,short,high,SRC_DELL_10K
COMP_HPE_SRV,Hewlett Packard Enterprise,HPE,NYSE,US,L1_SERVERS,AI server systems and supercomputers,2,GreenLake / Cray / ProLiant,medium,Cray / supercomputing share for sovereign AI builds.,medium,Slower AI ramp than Dell / SMCI; integrating Juniper.,medium,high,SRC_HPE_10K
COMP_SMCI_SRV,Super Micro Computer,SMCI,NASDAQ,US,L1_SERVERS,AI server systems,3,GPU server racks,high,Most pure-play AI server integrator on the U.S. market.,high,Governance / accounting overhang in 2024-2025.,short,medium,SRC_SMCI_10K
COMP_MSFT_HYP,Microsoft,MSFT,NASDAQ,US,L1_HYPERSCALERS,Hyperscale cloud,1,Azure / OpenAI partnership,medium,Largest external buyer of NVDA GPUs and primary OpenAI infra partner.,medium,Capex efficiency uncertain; OpenAI relationship risks.,short,high,SRC_FT_AI_INFRA
COMP_AMZN_HYP,Amazon,AMZN,NASDAQ,US,L1_HYPERSCALERS,Hyperscale cloud,2,AWS / Trainium / Bedrock,medium,Trainium ASIC roadmap plus Anthropic partnership.,medium,AI mix smaller share of revenue; capex pressure.,short,high,SRC_FT_AI_INFRA
COMP_GOOGL_HYP,Alphabet,GOOGL,NASDAQ,US,L1_HYPERSCALERS,Hyperscale cloud,3,GCP / TPU / Gemini,medium,Long-tenured TPU program and Gemini integration.,medium,Search disruption risk; capex burden.,short,high,SRC_FT_AI_INFRA
COMP_ORCL_HYP,Oracle,ORCL,NYSE,US,L1_HYPERSCALERS,Hyperscale cloud,N/A,OCI / Stargate participant,low,Smaller hyperscaler scale; rapid OCI growth in AI deals.,medium,Heavy capex; customer concentration risk.,short,high,SRC_FT_AI_INFRA
COMP_CRWV_NEO,CoreWeave,CRWV,NASDAQ,US,L1_NEOCLOUDS,Pure-play GPU cloud,1,GPU cloud capacity,high,Largest publicly listed neocloud exposed to NVDA capacity.,high,Customer concentration with Microsoft; refinancing risk.,short,high,SRC_CRWV_S1
COMP_NBIS_NEO,Nebius Group,NBIS,NASDAQ,Netherlands,L1_NEOCLOUDS,GPU cloud,2,GPU cloud and AI services,high,Yandex spinoff with EU GPU build-out.,high,Smaller scale; geopolitical and historical Yandex baggage.,short,medium,SRC_NBIS_F1
COMP_IREN_NEO,IREN Limited,IREN,NASDAQ,Australia,L1_NEOCLOUDS,GPU cloud (former bitcoin miner),3,GPU cloud capacity,medium,Pivot from BTC mining to GPU cloud; ADR-equivalent on Nasdaq.,medium,Pivot execution; remaining BTC mining exposure.,medium,medium,SRC_CRWV_S1
COMP_EQIX_DC,Equinix,EQIX,NASDAQ,US,L1_DC_REIT,Retail colocation REIT,1,Interconnection-rich retail colo,medium,Largest interconnection franchise globally.,medium,Power-constrained markets; capex intensity.,short,high,SRC_EQIX_10K
COMP_DLR_DC,Digital Realty Trust,DLR,NYSE,US,L1_DC_REIT,Wholesale and hyperscale DC REIT,2,Hyperscale and PowerHouse,medium,Largest pure-play wholesale DC REIT.,medium,Capex intensity; tenant concentration.,short,high,SRC_DLR_10K
COMP_IRM_DC,Iron Mountain,IRM,NYSE,US,L1_DC_REIT,Storage plus growing DC,3,Records storage plus DC,low,Hybrid story; growing DC segment.,low,Most revenue still legacy storage.,medium,medium,SRC_DLR_10K
COMP_PWR_CON,Quanta Services,PWR,NYSE,US,L1_DC_CONSTRUCTION,Specialty utility / DC contractor,1,Electric power infrastructure,high,Largest U.S.-listed electric power infrastructure contractor.,high,Labor inflation; project risk.,short,high,SRC_PWR_10K
COMP_MTZ_CON,MasTec,MTZ,NYSE,US,L1_DC_CONSTRUCTION,Communications and power infrastructure,2,Communications / power / clean energy,medium,Significant communications and power infrastructure backlog.,medium,Cyclicality across segments.,short,high,SRC_MTZ_10K
COMP_FIX_CON,Comfort Systems USA,FIX,NYSE,US,L1_DC_CONSTRUCTION,Mechanical contractor,3,Modular construction; mechanical,high,Heavy modular DC fitout; growing AI exposure.,high,Labor and project risk.,short,high,SRC_FIX_10K
COMP_EME_CON,EMCOR Group,EME,NYSE,US,L1_DC_CONSTRUCTION,Electrical / mechanical contractor,N/A,Electrical / mechanical contracting,medium,Strong DC segment but more diversified than FIX.,medium,Labor inflation.,short,high,SRC_EME_10K
COMP_DY_CON,Dycom,DY,NYSE,US,L1_DC_CONSTRUCTION,Communications infrastructure,N/A,Telecom and fiber buildouts,medium,Adjacent to DC fiber buildouts.,medium,Customer concentration.,medium,medium,SRC_PWR_10K
COMP_PRIM_CON,Primoris Services,PRIM,NYSE,US,L1_DC_CONSTRUCTION,Power and energy infrastructure,N/A,Substations and renewables,medium,Substation construction tied to DC growth.,medium,Project execution.,medium,medium,SRC_PWR_10K
COMP_VRT_PWR,Vertiv Holdings,VRT,NYSE,US,L1_DC_POWER_INTERNAL,DC power and thermal infrastructure,1,UPS; PDU; thermal,high,Most pure-play U.S.-listed DC power and thermal name.,high,Customer concentration; competition from ETN.,short,high,SRC_VRT_10K
COMP_ETN_PWR,Eaton Corporation,ETN,NYSE,US,L1_DC_POWER_INTERNAL,Electrical equipment,2,UPS; switchgear; busways,medium,DC power exposure growing materially.,medium,Cyclicality; pricing competition.,short,high,SRC_ETN_10K
COMP_VRT_UPS,Vertiv Holdings,VRT,NYSE,US,L1_UPS,UPS systems,1,UPS modules,high,Largest U.S.-listed pure-play DC UPS exposure.,high,Battery-supply linkage; competition.,short,high,SRC_VRT_10K
COMP_ETN_UPS,Eaton,ETN,NYSE,US,L1_UPS,UPS systems,2,UPS modules,medium,Major share alongside Schneider and Vertiv.,medium,Same as above.,short,high,SRC_ETN_10K
