source_node_id,target_node_id,relationship_type,relationship_description,criticality,confidence,source_id
L1_APPLICATIONS,L1_MODELS,requires_software,AI applications run on top of foundation models.,high,high,SRC_FT_AI_INFRA
L1_MODELS,L1_TRAIN_INFER_PLATFORMS,requires_software,Models are trained and served via inference platforms.,high,high,SRC_FT_AI_INFRA
L1_MODELS,L1_HYPERSCALERS,requires_service,Frontier model labs rent capacity from hyperscalers.,severe,high,SRC_FT_AI_INFRA
L1_MODELS,L1_NEOCLOUDS,requires_service,Some labs use specialized GPU clouds.,high,high,SRC_CRWV_S1
L1_MODELS,L1_DATA_LICENSING,requires_input,Models depend on licensed and labeled training data.,high,medium,SRC_FT_AI_INFRA
L1_HYPERSCALERS,L1_DC_OPS,requires_service,Hyperscalers operate or lease physical DCs.,severe,high,SRC_EQIX_10K
L1_HYPERSCALERS,L1_COMPUTE,requires_equipment,Hyperscalers procure GPUs and ASICs at scale.,severe,high,SRC_NVDA_10K
L1_HYPERSCALERS,L1_GENERATION,requires_power,Hyperscalers contract massive PPAs.,severe,high,SRC_BLOOMBERG_DC_POWER
L1_NEOCLOUDS,L1_COMPUTE,requires_equipment,Neoclouds buy GPUs for rental.,severe,high,SRC_CRWV_S1
L1_NEOCLOUDS,L1_DC_OPS,requires_service,Neoclouds lease space from DC REITs and hyperscale builders.,severe,high,SRC_CRWV_S1
L1_COMPUTE,L1_FAB,requires_service,All AI accelerators are made in fabs.,severe,high,SRC_TSM_20F
L1_COMPUTE,L1_PACKAGING,requires_service,AI accelerators with HBM require advanced packaging.,severe,high,SRC_TSM_20F
L1_COMPUTE,L1_MEMORY,requires_input,AI accelerators integrate HBM memory.,severe,high,SRC_TRENDFORCE_HBM
L1_COMPUTE,L1_NETWORKING,requires_input,AI accelerators integrate networking silicon.,high,high,SRC_AVGO_10K
L1_COMPUTE,L1_SEMI_DESIGN,requires_service,AI accelerators are designed by fabless / IDM teams.,severe,high,SRC_NVDA_10K
L1_COMPUTE,L1_EDA,requires_software,Chip design requires EDA tools.,severe,high,SRC_SNPS_10K
L1_COMPUTE,L1_SEMI_IP,requires_software,Chip design relies on licensed IP cores.,high,high,SRC_ARM_20F
L2_AI_ACCELERATORS,L1_FAB,requires_service,Accelerators require leading-edge fabrication.,severe,high,SRC_TSM_20F
L3_GPU,L4_HBM,requires_input,Modern data-center GPUs integrate HBM stacks.,severe,high,SRC_NVDA_10K
L3_GPU,L2_LEADING_EDGE_FOUNDRY,requires_service,GPUs are made on 5nm and below.,severe,high,SRC_TSM_20F
L3_GPU,L2_COWOS,requires_service,Leading GPUs are CoWoS packaged.,severe,high,SRC_TSM_20F
L3_HYPERSCALER_ASIC,L4_HBM,requires_input,Hyperscaler ASICs use HBM for memory bandwidth.,severe,high,SRC_AVGO_10K
L3_HYPERSCALER_ASIC,L2_COWOS,requires_service,Hyperscaler ASICs use advanced packaging.,severe,high,SRC_AVGO_10K
L1_FAB,L1_SEMI_EQUIP,requires_equipment,Fabs require capital equipment for every step.,severe,high,SRC_AMAT_10K
L1_FAB,L1_SPECIALTY_CHEM,requires_input,Fabs consume tons of high-purity chemicals.,high,high,SRC_ENTG_10K
L1_FAB,L1_INDUSTRIAL_GAS,requires_input,Fabs consume bulk and specialty gases.,high,high,SRC_LIN_10K
L1_FAB,L1_SI_POLYSI,requires_input,Fabs run on silicon wafers from polysilicon feedstock.,high,high,SRC_USGS_MCS_2025
L1_FAB,L1_PHOTORESIST,requires_input,Fabs depend on photoresists for patterning.,severe,high,SRC_SEMI_INDUSTRY
L1_FAB,L1_NOBLE_GASES,requires_input,Fabs depend on neon and other noble gases.,high,high,SRC_REUTERS_GALLIUM
L1_FAB,L1_GENERATION,requires_power,Fabs consume hundreds of MW each.,severe,high,SRC_IEA_AI_ENERGY_2024
L1_FAB,L1_WATER,requires_water,Fabs require ultra-pure water at scale.,high,high,SRC_USGS_MCS_2025
L2_LEADING_EDGE_FOUNDRY,L1_LITHO,requires_equipment,Leading-edge nodes require EUV.,severe,high,SRC_ASML_AR
L2_LEADING_EDGE_FOUNDRY,L1_PHOTORESIST,requires_input,Leading-edge nodes require advanced resists.,severe,high,SRC_SEMI_INDUSTRY
L2_LEADING_EDGE_FOUNDRY,L1_DEPOSITION,requires_equipment,Leading-edge nodes require advanced deposition.,severe,high,SRC_AMAT_10K
L2_LEADING_EDGE_FOUNDRY,L1_ETCH,requires_equipment,Leading-edge nodes require advanced etch.,severe,high,SRC_LRCX_10K
L2_LEADING_EDGE_FOUNDRY,L1_METROLOGY,requires_equipment,Yield management requires advanced metrology.,severe,high,SRC_KLAC_10K
L1_PACKAGING,L1_FAB,requires_service,Advanced packaging is wafer-level fabrication.,severe,high,SRC_TSM_20F
L1_PACKAGING,L1_SEMI_EQUIP,requires_equipment,Packaging requires bonders; dicers; grinders.,severe,high,SRC_DISCO_AR
