company_id,name,current_status,rumored_or_announced_public_path,related_supply_chain_node,why_it_matters,estimated_maturity,risks,source_id,confidence
WL_CEREBRAS,Cerebras Systems,private,S-1 filed Sep 2024; deal review delayed; relisting timeline uncertain,L3_AI_STARTUP_ASIC,Wafer-scale AI accelerator (CS-3); G42 customer concentration disclosed.,medium,CFIUS / customer concentration; market reception of wafer-scale architecture.,SRC_FT_AI_INFRA,medium
WL_GROQ,Groq Inc.,private,Multiple late-stage rounds; IPO discussed but no S-1 filed,L3_AI_STARTUP_ASIC,LPU inference chips; 2024-2025 funding round reportedly at >$2B valuation.,medium,Capacity ramp; competition vs hyperscaler ASICs.,SRC_FT_AI_INFRA,low
WL_SAMBANOVA,SambaNova Systems,private,IPO discussed but no S-1 filed,L3_AI_STARTUP_ASIC,RDU AI accelerator; enterprise-deployed dataflow architecture.,medium,Subscale; competition from hyperscaler ASICs and NVDA.,SRC_FT_AI_INFRA,low
WL_TENSTORRENT,Tenstorrent,private,IPO speculation only,L3_AI_STARTUP_ASIC,RISC-V AI accelerators; Jim Keller-led; multiple sovereign-AI design wins.,medium,Capital intensity; competition.,SRC_FT_AI_INFRA,low
WL_ETCHED,Etched,private,IPO speculation only,L3_AI_STARTUP_ASIC,Transformer-fixed Sohu inference accelerator; pre-revenue.,long,Pre-product execution.,SRC_FT_AI_INFRA,low
WL_RAIN,Rain AI,private,IPO speculation only,L3_AI_STARTUP_ASIC,Brain-inspired AI accelerator startup.,long,Pre-product.,SRC_FT_AI_INFRA,low
WL_OPENAI,OpenAI,private,Long-term IPO speculation; current corporate restructure to PBC,L1_MODELS,Sets the demand curve for compute and energy.,long,Governance restructuring; OAI investor agreements.,SRC_FT_AI_INFRA,medium
WL_ANTHROPIC,Anthropic,private,IPO speculation; AMZN equity stake,L1_MODELS,Major Claude family; significant compute commitments.,long,Funding; safety / regulatory.,SRC_FT_AI_INFRA,low
WL_XAI,xAI,private,IPO speculation only,L1_MODELS,Memphis Colossus build is a major incremental compute and power demand driver.,long,Funding; political risk.,SRC_FT_AI_INFRA,low
WL_DBRX,Databricks,private,Direct listing or IPO discussed,L1_AI_SOFTWARE_STACK,Lakehouse plus Mosaic ML platform.,medium,Cloud spend cycle; valuation.,SRC_FT_AI_INFRA,medium
WL_SCALE_AI,Scale AI,private,IPO speculation; Meta investment in 2024,L1_DATA_LICENSING,Largest data labeling firm tied to frontier labs.,medium,Customer concentration with frontier labs.,SRC_FT_AI_INFRA,low
WL_SURGE,Surge AI,private,IPO speculation only,L1_DATA_LICENSING,High-quality labeling competitor to Scale.,long,Same as Scale.,SRC_FT_AI_INFRA,low
