supplier_id,company_name,ticker_if_us_listed,exchange_if_us_listed,country,mineral_or_material,role,mining_processing_refining,investable_under_project_rules,why_relevant,key_risks,confidence,source_id
SUP_FCX_COPPER,Freeport-McMoRan,FCX,NYSE,US,Copper,Major copper miner and refiner,mining_processing,yes,Largest U.S.-listed copper miner tied to wiring; busbars; transformers; and grid buildout,Commodity-cycle risk; mine disruptions; permitting,high,SRC_FCX_10K
SUP_SCCO_COPPER,Southern Copper,SCCO,NYSE,Mexico/Peru,Copper,Large integrated copper producer,mining_processing,yes,High-purity copper exposure through a U.S.-listed company with large reserves,Country risk; labor; water; commodity pricing,high,SRC_SCCO_10K
SUP_TECK_COPPER,Teck Resources,TECK,NYSE,Canada,Copper and zinc,Base-metals miner,mining,yes,U.S.-listed copper exposure after portfolio shift toward energy-transition metals,Project execution; country exposure; metal prices,high,SRC_TECK_AR
SUP_BHP_COPPER_NICKEL,BHP Group,BHP,NYSE,Australia,Copper and nickel,Diversified miner,mining,yes,Large diversified miner with copper and nickel exposure for grid and battery inputs,Diluted exposure due to iron ore; commodity cycle,high,SRC_BHP_AR
SUP_RIO_COPPER_ALUMINUM,Rio Tinto,RIO,NYSE,UK/Australia,Copper and aluminum,Diversified miner and aluminum producer,mining_processing,yes,Major U.S.-listed ADR proxy for aluminum and copper supply,Diluted exposure; project and country risk,high,SRC_RIO_AR
SUP_AA_ALUMINUM,Alcoa,AA,NYSE,US,Aluminum,Integrated bauxite; alumina; and aluminum producer,mining_processing,yes,Closest U.S.-listed integrated aluminum supply-chain exposure,Power-cost exposure; commodity pricing,high,SRC_AA_10K
SUP_KALU_ALUMINUM,Kaiser Aluminum,KALU,NASDAQ,US,Aluminum,Specialty aluminum products,processing,yes,Specialty aluminum products used in industrial and electrical applications,Diversified end markets; cyclical demand,medium,SRC_AA_10K
SUP_CENX_ALUMINUM,Century Aluminum,CENX,NASDAQ,US,Aluminum,Primary aluminum smelter,processing,yes,U.S.-listed primary aluminum smelting exposure,Power-cost exposure; commodity cycle,medium,SRC_AA_10K
SUP_MP_RARE_EARTHS,MP Materials,MP,NYSE,US,Rare earths and NdPr,Miner; separator; magnet supply-chain builder,mining_processing,yes,Only large U.S.-listed pure-play rare-earth mining and magnet supply-chain name,China pricing pressure; processing ramp; customer concentration,high,SRC_MP_10K
SUP_USAR_RARE_EARTHS,USA Rare Earth,USAR,NASDAQ,US,Rare earths and magnets,Magnet manufacturing and Round Top project,processing,yes,Recent de-SPAC focused on U.S. rare-earth magnet supply chain,Pre-revenue execution; financing; permitting,medium,SRC_USAR_SPAC_CLOSE
