question_id,related_node_id,question,why_it_matters,priority,suggested_research_path
OQ_HBM_SHARE,L2_HBM,What are the latest quarterly HBM3e and HBM4 shipment shares across SK hynix; Samsung; and Micron?,HBM centrality is severe but the ranked U.S.-listed exposure depends on Micron share and qualification status,high,Compare Micron filings; SK hynix and Samsung memory releases; TrendForce; customer qualification commentary
OQ_HBM_PACKAGING,L4_HBM,How much of HBM supply is constrained by DRAM wafer capacity versus TSV stacking; bonders; substrates; and test?,The bottleneck may migrate from memory wafers to packaging or test equipment,high,Review memory supplier capex disclosures; advanced packaging equipment vendor reports; semi test commentary
OQ_COWOS_CAPACITY,L2_COWOS,What is the verified current and planned CoWoS capacity by TSMC and how much is allocated to Nvidia versus ASIC customers?,CoWoS allocation determines which accelerator vendors can actually ship,high,Use TSMC annual report; earnings-call transcripts; supplier reports; TrendForce capacity notes
OQ_ADV_PACK_ALT,L2_FOPLP,When will fan-out panel-level packaging become production-relevant for AI accelerators?,FOPLP could reduce CoWoS bottleneck severity if it scales,medium,Track TSMC; Samsung; Intel; Amkor; ASE; equipment-vendor roadmaps
OQ_EUV_SERVICE,L3_EUV_SCANNER,Are EUV tool availability limits driven more by new scanner deliveries; field-service engineers; or ZEISS/TRUMPF subsystem output?,ASML monopoly is known but the operational constraint matters for lead-time modeling,high,Read ASML annual report and supplier disclosures; search for EUV installed-base service constraints
OQ_PHOTORESIST_PUBLIC,L4_PHOTORESIST_EUV,Is there any U.S.-listed public company with meaningful EUV photoresist exposure after JSR went private?,Current view is no clean U.S.-listed pure play; this should be periodically re-tested,high,Review TOK; Shin-Etsu; Fujifilm; JSR ownership; U.S. ADR tiers; electronics chemicals segment disclosures
OQ_GALLIUM_PROXY,L5_GALLIUM,Is there a defensible U.S.-listed investable proxy for refined gallium supply?,The supply chain has a severe bottleneck with no clean ranked company,high,Review USGS gallium chapter; 5N Plus filings; aluminum/zinc byproduct disclosures; ADR listing tiers
OQ_GERMANIUM_PROXY,L5_GERMANIUM,Is Teck or another U.S.-listed company a meaningful germanium byproduct proxy or is exposure too diluted?,Germanium matters to optics but investable purity may be too low,high,Check Teck product disclosures; USGS germanium supply; specialty-materials companies
OQ_HPQ_SPRUCE_PINE,L5_HIGH_PURITY_QUARTZ,How concentrated is semiconductor-grade high-purity quartz supply at Spruce Pine after recent weather and supply-chain events?,HPQ is a severe non-investable root dependency for silicon wafers,high,Use USGS; supplier statements from Sibelco and The Quartz Corp; wafer supplier risk disclosures
OQ_TRANSFORMER_STEEL,L5_GRAIN_ORIENTED_STEEL,Which U.S. facilities can produce grain-oriented electrical steel at transformer-core quality and at what capacity?,Transformer lead times may be constrained by specialty steel rather than assembly alone,high,Use DOE transformer reports; steelmaker filings; trade-case data; transformer manufacturer disclosures
OQ_LPT_LEAD_TIMES,L2_LARGE_POWER_TRANSFORMER,What are current large-power transformer lead times for U.S. utility and data-center interconnect projects?,LPT delay is a high-conviction grid bottleneck but lead times change with orders and imports,high,Track DOE; utility RFPs; Hubbell/Eaton/GEV commentary; grid contractor backlogs
OQ_SWITCHGEAR_BACKLOG,L2_HV_SWITCHGEAR,How much of switchgear backlog is data-center-driven versus oil and gas; utility; and industrial demand?,Public pure-play exposure can be overstated if backlog is not data-center related,medium,Review POWL; ETN; GEV; HUBB segment disclosures and customer mix commentary
OQ_LIQUID_COOLING_WINNERS,L2_LIQUID_COOLING,Which liquid-cooling CDU and cold-plate vendors are winning hyperscaler qualifications?,Liquid cooling is likely to become more central as rack density rises,high,Compare Vertiv; Modine; nVent; CoolIT; Boyd; Asetek; Schneider; hyperscaler design wins
OQ_IMMERSION_ADOPTION,L2_IMMERSION,Will immersion cooling remain niche or become a standard for ultra-dense inference and training clusters?,Immersion affects water use; rack design; and vendor exposure,medium,Track deployments by Submer; LiquidStack; hyperscalers; colocation operators
OQ_WATER_RIGHTS,L1_WATER,Which U.S. data-center regions have binding water-rights or wastewater-reuse constraints?,Water could become a local permitting bottleneck even where power is available,medium,Review local utility filings; state water permits; data-center sustainability reports
OQ_GRID_QUEUE_DC,L1_GRID_INTERCONNECT,What share of interconnection and load-request queues is attributable to data centers rather than generation projects?,Data-center load growth may be hidden inside utility planning data,high,Use LBNL queue reports; PJM; ERCOT; Dominion; Georgia Power; MISO and SPP filings
OQ_GAS_TURBINE_BACKLOG,L3_GAS_TURBINE,How far out are HA-class gas turbine delivery slots at GE Vernova; Siemens Energy; and Mitsubishi Power?,Gas generation may be the fastest power source only if turbines are available,high,Review GEV filings; Siemens and Mitsubishi reports; utility procurement data
OQ_NUCLEAR_PPAS,L2_LWR,Which announced hyperscaler nuclear PPAs are binding; approved by regulators; and revenue-visible to plant owners?,Nuclear exposure depends on contract enforceability and regulatory treatment,high,Track FERC; NRC; state PUC decisions; CEG; VST; TLN; AMZN; MSFT; Google filings
